      xlow   xupp    ylow    yupp       content      error
168   0.50   0.75    70.0   100.0  0.000000e+00   0.000000
169   0.50   0.75   100.0   200.0  0.000000e+00   0.000000
170   0.50   0.75   200.0   500.0  0.000000e+00   0.000000
171   0.75   1.00    20.0    25.0  0.000000e+00   0.000000
172   0.75   1.00    25.0    30.0  0.000000e+00   0.000000
173   0.75   1.00    30.0    35.0  0.000000e+00   0.000000
174   0.75   1.00    35.0    40.0  0.000000e+00   0.000000
175   0.75   1.00    40.0    50.0  0.000000e+00   0.000000
176   0.75   1.00    50.0    70.0  0.000000e+00   0.000000
177   0.75   1.00    70.0   100.0  0.000000e+00   0.000000
178   0.75   1.00   100.0   200.0  0.000000e+00   0.000000
179   0.75   1.00   200.0   500.0  0.000000e+00   0.000000
180   1.00   1.25    20.0    25.0  0.000000e+00   0.000000
181   1.00   1.25    25.0    30.0  0.000000e+00   0.000000
182   1.00   1.25    30.0    35.0  0.000000e+00   0.000000
183   1.00   1.25    35.0    40.0  0.000000e+00   0.000000
184   1.00   1.25    40.0    50.0  0.000000e+00   0.000000
185   1.00   1.25    50.0    70.0  0.000000e+00   0.000000
186   1.00   1.25    70.0   100.0  0.000000e+00   0.000000
187   1.00   1.25   100.0   200.0  0.000000e+00   0.000000
188   1.00   1.25   200.0   500.0  0.000000e+00   0.000000
189   1.25   1.50    20.0    25.0  0.000000e+00   0.000000
190   1.25   1.50    25.0    30.0  0.000000e+00   0.000000
191   1.25   1.50    30.0    35.0  0.000000e+00   0.000000
192   1.25   1.50    35.0    40.0  0.000000e+00   0.000000
193   1.25   1.50    40.0    50.0  0.000000e+00   0.000000
194   1.25   1.50    50.0    70.0  0.000000e+00   0.000000
195   1.25   1.50    70.0   100.0  0.000000e+00   0.000000
196   1.25   1.50   100.0   200.0  0.000000e+00   0.000000
197   1.25   1.50   200.0   500.0  0.000000e+00   0.000000
198   1.50   1.75    20.0    25.0  0.000000e+00   0.000000
199   1.50   1.75    25.0    30.0  0.000000e+00   0.000000
200   1.50   1.75    30.0    35.0  0.000000e+00   0.000000
201   1.50   1.75    35.0    40.0  0.000000e+00   0.000000
202   1.50   1.75    40.0    50.0  0.000000e+00   0.000000
203   1.50   1.75    50.0    70.0  0.000000e+00   0.000000
204   1.50   1.75    70.0   100.0  0.000000e+00   0.000000
205   1.50   1.75   100.0   200.0  0.000000e+00   0.000000
206   1.50   1.75   200.0   500.0  0.000000e+00   0.000000
207   1.75   2.00    20.0    25.0  0.000000e+00   0.000000
208   1.75   2.00    25.0    30.0  0.000000e+00   0.000000
209   1.75   2.00    30.0    35.0  0.000000e+00   0.000000
210   1.75   2.00    35.0    40.0  0.000000e+00   0.000000
211   1.75   2.00    40.0    50.0  0.000000e+00   0.000000
212   1.75   2.00    50.0    70.0  0.000000e+00   0.000000
213   1.75   2.00    70.0   100.0  0.000000e+00   0.000000
214   1.75   2.00   100.0   200.0  0.000000e+00   0.000000
215   1.75   2.00   200.0   500.0  0.000000e+00   0.000000
216   2.00   2.25    20.0    25.0  1.117318e-02   0.004140
217   2.00   2.25    25.0    30.0  1.000000e-06   0.003359
218   2.00   2.25    30.0    35.0  2.459016e-02   0.006274
219   2.00   2.25    35.0    40.0  3.422053e-02   0.007344
220   2.00   2.25    40.0    50.0  3.421462e-02   0.006641
221   2.00   2.25    50.0    70.0  4.555314e-02   0.009187
222   2.00   2.25    70.0   100.0  6.303725e-02   0.012516
223   2.00   2.25   100.0   200.0  4.846527e-02   0.008196
224   2.00   2.25   200.0   500.0  6.485356e-02   0.010850
225   2.25   2.50    20.0    25.0  2.006689e-02   0.007045
226   2.25   2.50    25.0    30.0  5.111821e-02   0.011855
227   2.25   2.50    30.0    35.0  1.032609e-01   0.015517
228   2.25   2.50    35.0    40.0  1.017370e-01   0.014725
229   2.25   2.50    40.0    50.0  1.633394e-01   0.015552
230   2.25   2.50    50.0    70.0  1.610170e-01   0.019286
231   2.25   2.50    70.0   100.0  2.038462e-01   0.024753
232   2.25   2.50   100.0   200.0  2.480000e-01   0.022148
233   2.25   2.50   200.0   500.0  3.073930e-01   0.028650
234   2.50   2.75    20.0    25.0  1.000000e-06   0.003822
235   2.50   2.75    25.0    30.0  3.886926e-02   0.010753
236   2.50   2.75    30.0    35.0  1.954397e-02   0.006833
237   2.50   2.75    35.0    40.0  4.590164e-02   0.011341
238   2.50   2.75    40.0    50.0  7.341772e-02   0.012703
239   2.50   2.75    50.0    70.0  1.707819e-01   0.016869
240   2.50   2.75    70.0   100.0  3.069307e-01   0.026374
241   2.50   2.75   100.0   200.0  4.896907e-01   0.025372
242   2.50   2.75   200.0   500.0  6.839378e-01   0.033607
243   2.75   3.00    20.0    25.0  1.000000e-06   0.005772
244   2.75   3.00    25.0    30.0  5.405406e-03   0.001480
245   2.75   3.00    30.0    35.0  1.183432e-02   0.006337
246   2.75   3.00    35.0    40.0  3.144654e-02   0.012725
247   2.75   3.00    40.0    50.0  6.920415e-02   0.014419
248   2.75   3.00    50.0    70.0  1.875000e-01   0.020135
249   2.75   3.00    70.0   100.0  3.030303e-01   0.032505
250   2.75   3.00   100.0   200.0  5.148515e-01   0.035173
251   2.75   3.00   200.0   500.0  5.466667e-01   0.057534
252   3.00   3.10    20.0    25.0  0.000000e+00   0.000000
253   3.00   3.10    25.0    30.0  0.000000e+00   0.000000
254   3.00   3.10    30.0    35.0  0.000000e+00   0.000000
255   3.00   3.10    35.0    40.0  0.000000e+00   0.000000
256   3.00   3.10    40.0    50.0  0.000000e+00   0.000000
257   3.00   3.10    50.0    70.0  0.000000e+00   0.000000
258   3.00   3.10    70.0   100.0  0.000000e+00   0.000000
259   3.00   3.10   100.0   200.0  0.000000e+00   0.000000
260   3.00   3.10   200.0   500.0  0.000000e+00   0.000000
261   3.10   3.50    20.0    25.0  0.000000e+00   0.000000
262   3.10   3.50    25.0    30.0  0.000000e+00   0.000000
263   3.10   3.50    30.0    35.0  0.000000e+00   0.000000
264   3.10   3.50    35.0    40.0  0.000000e+00   0.000000
265   3.10   3.50    40.0    50.0  0.000000e+00   0.000000
266   3.10   3.50    50.0    70.0  0.000000e+00   0.000000
267   3.10   3.50    70.0   100.0  0.000000e+00   0.000000
268   3.10   3.50   100.0   200.0  0.000000e+00   0.000000
269   3.10   3.50   200.0   500.0  0.000000e+00   0.000000
270   3.50   4.00    20.0    25.0  0.000000e+00   0.000000
271   3.50   4.00    25.0    30.0  0.000000e+00   0.000000
272   3.50   4.00    30.0    35.0  0.000000e+00   0.000000
273   3.50   4.00    35.0    40.0  0.000000e+00   0.000000
274   3.50   4.00    40.0    50.0  0.000000e+00   0.000000
275   3.50   4.00    50.0    70.0  0.000000e+00   0.000000
276   3.50   4.00    70.0   100.0  0.000000e+00   0.000000
277   3.50   4.00   100.0   200.0  0.000000e+00   0.000000
278   3.50   4.00   200.0   500.0  0.000000e+00   0.000000
279   4.00   5.00    20.0    25.0  0.000000e+00   0.000000
280   4.00   5.00    25.0    30.0  0.000000e+00   0.000000
281   4.00   5.00    30.0    35.0  0.000000e+00   0.000000
282   4.00   5.00    35.0    40.0  0.000000e+00   0.000000
283   4.00   5.00    40.0    50.0  0.000000e+00   0.000000
284   4.00   5.00    50.0    70.0  0.000000e+00   0.000000
285   4.00   5.00    70.0   100.0  0.000000e+00   0.000000
286   4.00   5.00   100.0   200.0  0.000000e+00   0.000000
287   4.00   5.00   200.0   500.0  0.000000e+00   0.000000
